start,end,group
9450,9941.620206,Current Line
9450,10087.64428,Current Line
9450,9847.394088,Current Line
9450,9818.826337,Current Line
9450,9827.19075,Current Line
9450,9942.308293,Current Line
9450,9858.040583,Current Line
9450,9916.728875,Current Line
9450,9744.915961,Current Line
9450,9946.958434,Current Line
9450,9711.636851,Current Line
9450,9868.571051,Current Line
9450,9914.114569,Current Line
9450,9906.191599,Current Line
9450,9966.557926,Current Line
9450,9833.138706,Current Line
9450,9808.004592,Current Line
9450,9826.056197,Current Line
9450,10089.89218,Current Line
9450,9941.70254,Current Line
9450,9917.640993,Current Line
9450,9774.958309,Current Line
9450,9637.576973,Current Line
9450,9758.251883,Current Line
9450,9831.660308,Current Line
9450,9835.774485,Current Line
9450,9808.710546,Current Line
9450,9640.871902,Current Line
9450,9979.405078,Current Line
9450,9786.003691,Current Line
9450,10039.58764,Current Line
9450,9757.947293,Current Line
9450,9814.213789,Current Line
9450,9991.547528,Current Line
9450,9923.436339,Current Line
9450,9745.997169,Current Line
9450,9781.428804,Current Line
9450,9787.870945,Current Line
9450,9879.541899,Current Line
9450,9917.213059,Current Line
9450,10132.87673,Current Line
9450,9853.208397,Current Line
9450,9831.982808,Current Line
9450,9900.180751,Current Line
9450,9801.10681,Current Line
9450,9745.427441,Current Line
9450,9971.108103,Current Line
9450,9808.284846,Current Line
9450,9822.005517,Current Line
9450,9840.667765,Current Line
9450,9921.104555,Current Line
9450,9770.026347,Current Line
9450,9880.627779,Current Line
9450,10018.93108,Current Line
9450,9828.337123,Current Line
9450,10063.04801,Current Line
9450,9797.649348,Current Line
9450,9772.342096,Current Line
9450,9832.349497,Current Line
9450,9901.555414,Current Line
9450,9687.891449,Current Line
9450,9899.666467,Current Line
9450,9810.41631,Current Line
9450,9970.18067,Current Line
9450,9951.763229,Current Line
9450,9877.254283,Current Line
9450,9912.418957,Current Line
9450,9842.588937,Current Line
9450,9745.149584,Current Line
9450,9976.998836,Current Line
9450,10018.21971,Current Line
9450,9815.467534,Current Line
9450,9975.341357,Current Line
9450,9834.367669,Current Line
9450,9727.783276,Current Line
9450,9773.033714,Current Line
9450,9733.384525,Current Line
9450,9714.637418,Current Line
9450,9990.446739,Current Line
9450,9645.195473,Current Line
9450,9850.702616,Current Line
9450,9688.589151,Current Line
9450,9887.883683,Current Line
9450,9825.037164,Current Line
9450,9775.461838,Current Line
9450,9862.89521,Current Line
9450,9852.907088,Current Line
9450,9619.092073,Current Line
9450,9864.155228,Current Line
9450,9790.356585,Current Line
9450,9787.951282,Current Line
9450,9867.852669,Current Line
9450,9731.928988,Current Line
9450,9883.432754,Current Line
9450,9800.103531,Current Line
9450,9842.960318,Current Line
9450,9797.825255,Current Line
9450,9738.9936,Current Line
9450,9890.437712,Current Line
9450,9937.873208,Current Line
9450,9840.787314,Current Line
9450,9877.836407,Current Line
9450,9850.34735,Current Line
9450,9798.85994,Current Line
9450,9705.54119,Current Line
9450,9974.32353,Current Line
9450,9941.02703,Current Line
9450,9809.38701,Current Line
9450,9832.80101,Current Line
9450,9940.26016,Current Line
9450,9944.02389,Current Line
9450,9891.50779,Current Line
9450,9768.14475,Current Line
9450,9782.30776,Current Line
9450,9822.46399,Current Line
